,added_by,apc_fun_url,apc_funding,can_deposit_be_waived,country,country_inclusive,country_names,creators,date,date_made_open,date_of_deposit,datestamp,deposit_of_item,dir,documents,embargo_hum_soc,embargo_sci_tech_med,eprint_status,eprintid,gold_oa_options,iliege_hefce_model,journal_article_version,last_revision,lastmod,locus_of_deposit,making_deposit_open,mandate_content_types,maximal_embargo_waivable,metadata_visibility,open_access_waivable,open_licensing_conditions,policy_adoption,policy_colour,policy_comments,policy_effecive,policy_url,policymaker_name,policymaker_type,policymaker_url,repository_url,research_process_comments,rev_number,rights_holding,rights_retention_waivable,source_of_policy,status_changed,succeeds,title,type,uri,userid,waive_open_access
10,EOS,,not_mentioned,not_applicable,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,pub_permit,publication,41988.92398,requested,disk0/00/00/04/53,,not_specified,not_specified,archive,453,not_specified,not_specified,author_final,,42209.35469,institution_repo,recommended,['manuscript'],not_applicable,show,yes,other,6/10/2013,green,"""nonexclusive, irrevocable, worldwide license to exercise any and all rights under copyright relating to 
each of his or her scholarly articles, in any medium, provided that the articles are not sold for a 
profit, and to authorize others to do the same""",1/1/2014,http://library.caltech.edu/coda/OA_Policy_6.10.2013.pdf,California Institute of Technology,research_org,http://www.caltech.edu/,http://authors.library.caltech.edu/,,6,author_retains,not_applicable,faculty,12/15/2014 22:10,,California Institute of Technology,article,http://roarmap.eprints.org/id/eprint/453,319,yes
11,EOS,,not_mentioned,not_applicable,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,other,41988.92398,requested,disk0/00/00/04/56,,not_specified,not_specified,archive,456,not_specified,not_specified,not_specified,,42209.3547,institution_repo,recommended,['manuscript'],not_applicable,show,not_applicable,other,11/21/2013,green,Works to be deposited as soon as possible after acceptance giving institution non-exclusive license to archive,,http://www.csun.edu/senate/resolutions/openaccess-resolution112113.pdf,California State University Northridge,research_org,http://www.csun.edu/,http://scholarworks.csun.edu/,Link to policy provided by andrew.weiss@csun.edu (Digital Services Librarian),6,author_retains,not_applicable,faculty,12/15/2014 22:10,,"California State University, Northridge",article,http://roarmap.eprints.org/id/eprint/456,321,not_specified
12,EOS,http://scholcomm.columbia.edu/services/coap-fund/,institutional_funding,yes,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,not_specified,41988.92399,required,disk0/00/00/04/58,,not_specified,not_specified,archive,458,not_specified,not_specified,author_final,,42209.3547,any_repo,recommended,['manuscript'],not_applicable,show,yes,other,12/22/2010,green,"Deposit in IR or appropriate subject repository.  ""nonexclusive, irrevocable, royalty-free, worldwide license to exercise any and all rights under copyright relating to all such works of scholarship, created after the adoption of this resolution, solely for the purpose of providing and maintaining public access to them""",3/1/2011,http://scholcomm.columbia.edu/open-access/open-access-policies/lamont-doherty-earth-observatory-open-access-policy/,Columbia University Lamont-Doherty Earth Observatory,research_org_subunit,http://www.ldeo.columbia.edu/,http://academiccommons.columbia.edu/,,6,author_retains,not_applicable,faculty,12/15/2014 22:10,,Columbia University Lamont-Doherty Earth Observatory,article,http://roarmap.eprints.org/id/eprint/458,322,not_specified
13,EOS,http://scholcomm.columbia.edu/services/coap-fund/,institutional_funding,yes,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,not_specified,41988.92399,required,disk0/00/00/04/59,,not_specified,not_specified,archive,459,not_specified,not_specified,author_final,,42209.3547,any_repo,recommended,['manuscript'],not_applicable,show,yes,other,5/11/2011,green,"Deposit in IR or appropriate subject repository.  ""nonexclusive, irrevocable, royalty-free, worldwide license to exercise any and all rights under copyright relating to all such works of scholarship""",6/1/2011,http://scholcomm.columbia.edu/open-access/open-access-policies/columbia-university-libraries-information-services-open-access-policy/,Columbia University Libraries,research_org_subunit,http://library.columbia.edu/,http://academiccommons.columbia.edu/,,6,author_retains,not_applicable,faculty,12/15/2014 22:10,,Columbia University Libraries,article,http://roarmap.eprints.org/id/eprint/459,322,not_specified
14,EOS,http://scholcomm.columbia.edu/services/coap-fund/,institutional_funding,yes,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,not_specified,41988.92399,required,disk0/00/00/04/61,,not_specified,not_specified,archive,461,not_specified,not_specified,author_final,,42209.35471,institution_repo,recommended,['manuscript'],not_applicable,show,yes,other,5/1/2013,green,,,http://scholcomm.columbia.edu/open-access/open-access-policies/mailman-school-of-public-health-open-access-policy/,Columbia University Mailman School of Public Health,research_org_subunit,http://www.mailman.columbia.edu/,http://academiccommons.columbia.edu/,,6,author_retains,not_applicable,faculty,12/15/2014 22:10,,Columbia University Mailman School of Public Health,article,http://roarmap.eprints.org/id/eprint/461,322,not_specified
15,EOS,,not_mentioned,not_applicable,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,acceptance,41988.92399,requested,disk0/00/00/04/60,,not_specified,not_specified,archive,460,not_specified,not_specified,author_final,,42209.3547,institution_repo,recommended,['manuscript'],not_applicable,show,yes,other,12/2/2013,green,"Resolution rather than policy. ""non-exclusive license""",,http://www.csun.edu/senate/resolutions/openaccess-resolution112113.pdf,Columbia University School of Social Work,research_org_subunit,http://socialwork.columbia.edu/,http://academiccommons.columbia.edu/,Link to policy is website news section.  Emailed institution for exact policy (if different from library policy) - reply with link from Andrew Weiss (Digital Services Librarian) - andrew.weiss@csun.edu. No gold funding available.,6,author_retains,not_applicable,faculty,12/15/2014 22:10,,Columbia University School of Social Work,article,http://roarmap.eprints.org/id/eprint/460,322,yes
16,EOS,,not_mentioned,yes,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,pub_permit,publication,41988.92399,required,disk0/00/00/04/62,,not_specified,not_specified,archive,462,not_specified,not_specified,author_final,,42209.35471,institution_repo,required,['manuscript'],not_applicable,show,no,other,3/1/2013,green,"Irrevocable, nonexclusive license. ""This policy will be waived for any article at the request of the author, but once an article is placed in the repository it cannot be withdrawn.""",,http://www.conncoll.edu/media/website-media/libraries/Open-Access-Policy-of-the-Connecticut-College-Faculty.pdf,Connecticut College,research_org,http://www.conncoll.edu/,http://digitalcommons.conncoll.edu/,"Policy document is labelled draft - unable to access definitive document unless affiliated with the institution (""Policies and Procedures: Information for Faculty,” as section 2 (Faculty Responsibilities) .4 (Reports and Records), item 6 (or IFF 2.4.6). )                         No gold fund (from email enquiry)",6,author_retains,not_applicable,not_specified,12/15/2014 22:10,,Connecticut College,article,http://roarmap.eprints.org/id/eprint/462,323,no
17,EOS,https://beta.library.cornell.edu/about/collections/coap/funding,institutional_funding,not_applicable,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,not_specified,41988.92399,requested,disk0/00/00/04/63,,not_specified,not_specified,archive,463,permitted,not_specified,author_final,,42209.35471,any_repo,not_mentioned,['manuscript'],not_applicable,show,not_applicable,other,5/11/2005,green,Resolution on scholarly publishing rather than 'policy',,http://wayback.archive-it.org/2566/20130608143253/http://www.library.cornell.edu/scholarlycomm/resolution.html,Cornell University,research_org,http://www.cornell.edu/,http://ecommons.library.cornell.edu/,,5,not_mentioned,not_applicable,faculty,12/15/2014 22:10,,Cornell University,article,http://roarmap.eprints.org/id/eprint/463,1,not_specified
18,EOS,,not_mentioned,not_applicable,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,pub_permit,pub_permit,41988.92399,requested,disk0/00/00/04/64,,not_specified,not_specified,archive,464,not_specified,not_specified,author_final,,42209.35471,institution_repo,not_mentioned,['manuscript'],not_applicable,show,not_applicable,other,4/12/2013,green,"non-exclusive, royalty-free right to reproduce, convert to an updated electronic format, publicly display/perform and/or distribute their submission (including the abstract) worldwide in any format or medium, including but not limited to print, photographic, electronic, audio and/or video",,http://facultysenate.drake.edu/wp-content/uploads/sites/4/2012/09/Open-Access-Policy-12Apr-updated.pdf,Drake University,research_org,http://www.drake.edu/,http://escholarshare.drake.edu/,Emailed to ask if Gold fund,5,author_retains,not_applicable,faculty,12/15/2014 22:10,,Drake University,article,http://roarmap.eprints.org/id/eprint/464,1,not_specified
19,EOS,http://library.duke.edu/research/openaccess/cope,institutional_funding,not_specified,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,pub_permit,publication,41988.92399,required,disk0/00/00/04/65,,not_specified,not_specified,archive,465,not_specified,not_specified,author_final,,42209.35471,institution_repo,recommended,['manuscript'],not_applicable,show,yes,other,3/18/2010,green,"nonexclusive, irrevocable, royalty-free, worldwide license to exercise any and all rights under copyright",,http://provost.duke.edu/wp-content/uploads/FHB_App_P.pdf,Duke University,research_org,http://duke.edu/,http://dukespace.lib.duke.edu/dspace/,"Verified by Jim Tuttle 
Email: jim.tuttle@duke.edu
17/10/14

Policy found on page 44, Appendix P of Faculty Handbook",6,author_retains,not_applicable,faculty,12/15/2014 22:10,,Duke University,article,http://roarmap.eprints.org/id/eprint/465,1,yes
20,EOS,,not_mentioned,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,embargo,other,41988.924,required,disk0/00/00/04/66,,24m,24m,archive,466,not_specified,not_specified,other,2009,42209.35471,institution_repo,required,['etd'],yes,show,no,req_cc_by_nc,7/1/1905,black,Refers to ETD only,7/1/1905,http://gradschool.duke.edu/sites/default/files/documents/ElectronicThesisDissGuide.pdf,Duke University Graduate School,research_org,http://gradschool.duke.edu/,http://dukespace.lib.duke.edu/dspace/handle/10161/1,"Could not find specific grad school policy.  Emailed nicki.rivers@duke.edu. Reply from Kevin.L.Smith@duke.edu (Director of Scholarly Communication) - ""I am afraid there simply is not a formal policy document as such, this was a decision made in 2006 by the Graduate School in consultation with the Grad Student Council and the library.  The gist of the requirement is found on the two pages linked below, but the OA mandate, as such, is embedded in the full set of submission guidelines.  As I say, there is no OA policy as such for the grad students.  The faculty adopted OA policy at Duke does not apply to graduate students, so this requirement about ETDs, which is less than a formal policy, is all there is.""",7,author_retains,no,administrative,12/15/2014 22:10,,Duke University Graduate School,article,http://roarmap.eprints.org/id/eprint/466,1,no
21,EOS,https://open.library.emory.edu/authors/oa-fund/,institutional_funding,not_applicable,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,not_specified,41988.924,requested,disk0/00/00/04/67,,not_specified,not_specified,archive,467,permitted,not_specified,author_final,,42209.35471,institution_repo,recommended,['manuscript'],not_applicable,show,yes,other,3/15/2011,green,"Each faculty member grants to Emory University permission to capture and make available his or her scholarly articles - not technically requested or required?!    License = ""nonexclusive, irrevocable, royalty-free, worldwide license to exercise any and all rights under copyright""",,http://guides.main.library.emory.edu/content.php?pid=43389&sid=2144393,Emory University,research_org,http://www.emory.edu,https://open.library.emory.edu/,,6,author_retains,not_applicable,faculty,12/15/2014 22:10,,Emory University,article,http://roarmap.eprints.org/id/eprint/467,324,yes
22,Florida Gulf Coast University,,not_mentioned,yes,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,publication,publication,42831.59431,required,disk0/00/00/13/31,,not_specified,not_specified,archive,1331,not_specified,no,author_final,,42831.59431,institution_repo,required,['manuscript'],not_specified,show,yes,no_req,3/31/2017,,,8/1/2017,http://library.fgcu.edu/ascdi/scholcomm/oapolicy.html,Florida Gulf Coast University,research_org,http://www.fgcu.edu/,https://fgcu.digital.flvc.org/,,4,author_grants,yes,faculty,4/6/2017 14:15,,Florida Gulf Coast University,article,http://roarmap.eprints.org/id/eprint/1331,4293,yes
23,EOS,,not_mentioned,yes,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,not_specified,41988.924,required,disk0/00/00/04/68,,not_specified,not_specified,archive,468,not_specified,no,author_final,,42522.92422,institution_repo,required,['manuscript'],not_specified,show,yes,no_req,2/17/2016,green,"Harvard Model OA policy that grants FSU a non-exclusive license to exercise the copyright in FSU faculty authors' scholarly articles for noncommercial purposes, in addition to requiring faculty to provide copies of their accepted manuscripts to the Libraries for deposit in the institutional repository. Option to waive both the grant of rights and deposit requirement.",,http://openaccess.fsu.edu/policy-text,Florida State University,research_org,https://www.fsu.edu/,http://diginole.lib.fsu.edu/repository,,13,author_grants,yes,faculty,6/1/2016 10:37,,Florida State University,article,http://roarmap.eprints.org/id/eprint/468,1767,yes
24,EOS,,not_mentioned,yes,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,embargo,publication,41988.924,required,disk0/00/00/04/69,,12m,12m,archive,469,not_specified,no,author_final,,42209.35472,institution_repo,required,['manuscript'],not_applicable,show,yes,other,11/27/2012,green,"nonexclusive, irrevocable, royalty-free, worldwide license to exercise any and all copyrights in his or her scholarly articles published in any medium, provided the articles are not sold or licensed for a profit Embargo: ""At author request, access will be delayed for up to one year.""",1/1/2013,http://www.policylibrary.gatech.edu/faculty-handbook/5.5-policy-open-access-faculty-publications,Georgia Institute of Technology,research_org,http://www.gatech.edu/,https://smartech.gatech.edu/,"Verified by Fred Rascoe
Scholarly Communication Librarian
Email: fred.rascoe@library.gatech.edu
06/11/14",7,not_mentioned,not_specified,faculty,12/15/2014 22:10,,Georgia Institute of Technology,article,http://roarmap.eprints.org/id/eprint/469,1,yes
25,EOS,https://osc.hul.harvard.edu/hope,institutional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.924,required,disk0/00/00/04/71,,not_specified,not_specified,archive,471,permitted,not_specified,author_final,,42209.35472,institution_repo,required,['manuscript'],not_applicable,show,yes,other,2/12/2010,green,"nonexclusive, irrevocable, worldwide license to exercise any and all rights under copyright relating to each of these articles",,https://osc.hul.harvard.edu/hbspolicy,Harvard Business School,research_org,http://www.hbs.edu/Pages/default.aspx,http://dash.harvard.edu/,,5,author_grants,yes,faculty,12/15/2014 22:10,,Harvard Business School,article,http://roarmap.eprints.org/id/eprint/471,1,yes
26,EOS,https://osc.hul.harvard.edu/hope,institutional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.924,required,disk0/00/00/04/72,,not_specified,not_specified,archive,472,permitted,not_specified,author_final,,42209.35473,institution_repo,required,['manuscript'],not_applicable,show,yes,other,11/15/2010,green,"nonexclusive, irrevocable, worldwide license to exercise any and all rights under copyright relating to each of these articles",,https://osc.hul.harvard.edu/hdspolicy,Harvard Divinity School,research_org,http://hds.harvard.edu/,http://dash.harvard.edu/,,5,author_grants,yes,faculty,12/15/2014 22:10,,Harvard Divinity School,article,http://roarmap.eprints.org/id/eprint/472,1,yes
27,EOS,https://osc.hul.harvard.edu/hope,institutional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.924,required,disk0/00/00/04/73,,not_specified,not_specified,archive,473,permitted,not_specified,author_final,,42209.35475,institution_repo,required,['manuscript'],not_applicable,show,yes,other,5/1/2008,green,"nonexclusive, irrevocable, worldwide license to exercise any and all rights under copyright relating to each of these articles",,https://osc.hul.harvard.edu/hlspolicy,Harvard Law School,research_org,http://www.law.harvard.edu/,http://dash.harvard.edu/,,5,author_grants,yes,faculty,12/15/2014 22:10,,Harvard Law School,article,http://roarmap.eprints.org/id/eprint/473,1,yes
28,EOS,https://osc.hul.harvard.edu/hope,institutional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.924,required,disk0/00/00/04/74,,not_specified,not_specified,archive,474,permitted,not_specified,author_final,,42209.35475,institution_repo,required,['manuscript'],not_applicable,show,yes,other,11/26/2012,green,"nonexclusive, irrevocable, worldwide license to exercise any and all rights under copyright relating to each of these articles",,https://osc.hul.harvard.edu/hsphpolicy,Harvard School of Public Health,research_org,http://www.hsph.harvard.edu/,http://dash.harvard.edu/,,5,author_grants,yes,faculty,12/15/2014 22:10,,Harvard School of Public Health,article,http://roarmap.eprints.org/id/eprint/474,1,yes
29,EOS,https://osc.hul.harvard.edu/hope,institutional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.92402,required,disk0/00/00/04/77,,not_specified,not_specified,archive,477,permitted,not_specified,author_final,,42209.35475,institution_repo,required,['manuscript'],not_applicable,show,yes,other,2/12/2008,green,"nonexclusive, irrevocable, worldwide license to exercise any and all rights under copyright relating to each of these articles",,https://osc.hul.harvard.edu/hfaspolicy,Harvard University Faculty of Arts & Sciences,research_org,http://www.fas.harvard.edu/,http://dash.harvard.edu/,,5,author_grants,yes,faculty,12/15/2014 22:10,,Harvard University Faculty of Arts & Sciences,article,http://roarmap.eprints.org/id/eprint/477,1,yes
30,EOS,https://osc.hul.harvard.edu/hope,institutional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.92402,required,disk0/00/00/04/75,,not_specified,not_specified,archive,475,permitted,not_specified,author_final,,42209.35475,institution_repo,required,['manuscript'],not_applicable,show,yes,other,3/30/2011,green,"nonexclusive, irrevocable, worldwide license to exercise any and all rights under copyright relating to each of these articles",,https://osc.hul.harvard.edu/hgsdpolicy,Harvard University Graduate School of Design,research_org,http://www.gsd.harvard.edu/,http://dash.harvard.edu/,,5,author_grants,yes,faculty,12/15/2014 22:10,,Harvard University Graduate School of Design,article,http://roarmap.eprints.org/id/eprint/475,1,yes
31,EOS,https://osc.hul.harvard.edu/hope,institutional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.92402,required,disk0/00/00/04/76,,not_specified,not_specified,archive,476,permitted,not_specified,author_final,,42209.35475,institution_repo,required,['manuscript'],not_applicable,show,yes,other,6/1/2009,green,"nonexclusive, irrevocable, worldwide license to exercise any and all rights under copyright relating to each of these articles",,https://osc.hul.harvard.edu/hgsepolicy,Harvard University Graduate School of Education,research_org,http://www.gse.harvard.edu/,http://dash.harvard.edu/,,5,author_grants,yes,faculty,12/15/2014 22:10,,Harvard University Graduate School of Education,article,http://roarmap.eprints.org/id/eprint/476,1,yes
32,EOS,https://osc.hul.harvard.edu/hope,institutional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.92402,required,disk0/00/00/04/78,,not_specified,not_specified,archive,478,permitted,not_specified,author_final,,42209.35476,institution_repo,required,['manuscript'],not_applicable,show,yes,other,3/10/2009,green,,,https://osc.hul.harvard.edu/hksgpolicy,Harvard University John F Kennedy School of Government,research_org,http://www.hks.harvard.edu/,http://dash.harvard.edu/,,5,author_grants,yes,faculty,12/15/2014 22:10,,Harvard University John F Kennedy School of Government,article,http://roarmap.eprints.org/id/eprint/478,1,yes
33,EOS,https://osc.hul.harvard.edu/hope,institutional_funding,no,840,"['un_geoscheme', 19, 21, 840]","['Americas', 'Northern America', 'United States of America']",,,not_mentioned,publication,41988.92402,required,disk0/00/00/04/79,,not_specified,not_specified,archive,479,permitted,not_specified,author_final,,42209.35476,institution_repo,required,['manuscript'],not_applicable,show,yes,other,6/18/2014,red,,,https://osc.hul.harvard.edu/hmspolicy,Harvard University Medical School,research_org,http://hms.harvard.edu/,http://repository.countway.harvard.edu/,,6,author_grants,yes,faculty,12/15/2014 22:10,,Harvard University Medical School,article,http://roarmap.eprints.org/id/eprint/479,1,yes
