Journal title,Alternative title,Publisher,Society or institution,Country of publisher,Journal article processing charges (APCs),APC amount,Currency,Journal article submission fee,Submission fee amount,Submission fee currency,First calendar year journal provided online Open Access content,Full text language,Review process,Average number of weeks between submission and publication,Journal license,License attributes,Author holds copyright without restrictions,Author holds publishing rights without restrictions
Asian Development Review,,The MIT Press,Asian Development Bank,United States,No,,,,,,2013,English,Double blind peer review,53,CC BY,,FALSE,FALSE
Film Criticism,,Michigan Publishing,,United States,No,,,,,,2016,English,Peer review,20,CC BY,,FALSE,FALSE
Connections,,Exeley Inc.,International Network for Social Network Analysis,United States,No,,,,,,1977,English,Blind peer review,40,CC BY,,TRUE,TRUE
The Covenant Quarterly,,Covenant Publications,North Park Theological Seminary,United States,No,,,,,,2015,English,Editorial review,13,CC BY-NC,,TRUE,TRUE
Information Technology and Libraries,ITAL: Information Technology & Libraries,American Library Association,Library and Information Technology Association,United States,No,,,,,,2011,English,Double blind peer review,26,CC BY,,TRUE,TRUE
Oral Tradition,,Center for Studies in Oral Tradition,,United States,No,,,,,,1986,"Chinese, English",Blind peer review,52,Publisher's own license,,TRUE,TRUE
Cultural Anthropology,,American Anthropological Association,Society for Cultural Anthropology,United States,No,,,,,,2014,English,Double blind peer review,52,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
International Journal of Comparative Psychology,,"eScholarship Publishing, University of California",International Society for Comparative Psychology,United States,No,,,,,,2007,English,Peer review,12,CC BY,,TRUE,TRUE
Computational Linguistics,,The MIT Press,Association for Computational Linguistics,United States,No,,,,,,2017,English,Peer review,50,CC BY-NC-ND,,FALSE,FALSE
Journal of Scientific Exploration,,SSE,Society for Scientific Exploration,United States,No,,,,,,2018,English,Peer review,32,CC BY-NC,,TRUE,FALSE
Essays in Economic and Business History,Essays in Economic & Business History,The Economic & Business History Society,,United States,No,,,,,,1999,English,Double blind peer review,26,CC BY,,TRUE,TRUE
New Theology Review,NTR,Catholic Theological Union through the Paul Bechtold Library,,United States,No,,,,,,2013,English,Double blind peer review,16,CC BY-NC-ND,,TRUE,TRUE
Cell Proliferation,,Wiley,,United States,Yes,2150,USD - US Dollar,,,,2019,English,Blind peer review,7,CC BY-NC-ND,,FALSE,FALSE
Cell Transplantation,,SAGE Publishing,,United States,Yes,2750,USD - US Dollar,,,,2017,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Anthropology in Action,,Berghahn Books, Association of Social Anthropologists’ (ASA) Apply Network,United States,No,,,,,,2018,English,Double blind peer review,24,CC BY-NC-ND,,FALSE,FALSE
Revista Panamericana de Salud Pública,Pan American Journal of Public Health,Pan American Health Organization,Pan American Health Organization,United States,No,,,,,,2017,"English, Portuguese, Spanish; Castilian",Double blind peer review,20,CC BY-NC-ND,,FALSE,FALSE
Australasian Journal of Neuroscience,AJON,Exeley Inc.,Australian Association of Neuroscience Nursing,United States,No,,,,,,2005,English,Double blind peer review,10,CC BY-NC-ND,,TRUE,TRUE
Disability Studies Quarterly,,The Ohio State University Libraries,Society for Disability Studies,United States,No,,,,,,2008,English,Peer review,10,CC BY-NC-ND,,TRUE,TRUE
Pediatric Neurology Briefs,,Pediatric Neurology Briefs Publishers,,United States,No,,,,,,2015,English,Blind peer review,2,CC BY,,TRUE,TRUE
Kansas Working Papers in Linguistics,,"University of Kansas, Department of Linguistics",University of Kansas ,United States,No,,,,,,1976,English,Editorial review,8,CC BY,,TRUE,TRUE
Journal of Research of the National Institute of Standards and Technology,Journal of Research of NIST,The National Institute of Standards and Technology,,United States,No,,,,,,2012,English,Peer review,6,Publisher's own license,Attribution,FALSE,FALSE
Journal of Technology Education,JTE,Virginia Tech Libraries,International Technology and Engineering Educators Association  and the Council on Technology and Engineering Teacher Education,United States,No,,,,,,1990,English,Blind peer review,34,CC BY,,FALSE,FALSE
The Qualitative Report,,Nova Southeastern University,,United States,No,,,,,,1990,English,Editorial review,45,CC BY-NC-SA,,FALSE,FALSE
disClosure: A Journal of Social Theory,disClosure,University of Kentucky,Committee on Social Theory,United States,No,,,,,,2016,English,Double blind peer review,12,CC BY-NC,,TRUE,TRUE
Bryn Mawr Classical Review,BMCR,"Bryn Mawr Commentaries, Inc.",,United States,No,,,,,,1991,"English, French, German, Italian, Spanish; Castilian",Blind peer review,7,Publisher's own license,,TRUE,TRUE
Tradition and Discovery,Tradition and Discovery: The Polanyi Society Journal,The Polanyi Society,The Polanyi Society,United States,No,,,,,,1973,English,Blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
School Community Journal,,Academic Development Institute,,United States,No,,,,,,1991,English,Blind peer review,40,CC BY-NC-ND,,FALSE,FALSE
Journal of Aviation/Aerospace Education and Research,,Embry-Riddle Aeronautical University,,United States,No,,,,,,2013,English,Double blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
Music Theory Online,MTO,Society for Music Theory,,United States,No,,,,,,1993,English,Double blind peer review,42,Publisher's own license,Attribution,TRUE,TRUE
Education Policy Analysis Archives,EPAA,Arizona State University,,United States,No,,,,,,1993,"English, Portuguese, Spanish; Castilian",Double blind peer review,20,CC BY-NC-ND,,TRUE,TRUE
Journal of Statistics Education,,Taylor & Francis Group,American Statistical Association,United States,No,,,,,,1993,English,Double blind peer review,12,CC BY-NC,,FALSE,FALSE
Electronic Journal of Differential Equations,EJDE,Texas State University,,United States,No,,,,,,1993,English,Peer review,20,CC BY,,FALSE,FALSE
Journal of Political Ecology,,University of Arizona Libraries,University of Arizona,United States,No,,,,,,1994,"English, French, Spanish; Castilian",Double blind peer review,17,CC BY,,TRUE,TRUE
Bolivian Studies Journal,Revista de Estudios Bolivianos,"University Library System, University of Pittsburgh",Center for Latin American Studies; Department of Hispanic Languages and Literatures; Center for the Studies of Latin American Literatures,United States,No,,,,,,2010,"English, Portuguese, Spanish; Castilian",Double blind peer review,10,CC BY,,TRUE,TRUE
Journal of World-Systems Research,,"University Library System, University of Pittsburgh",American Sociological Association Section on Political Economy of the World-System,United States,No,,,,,,1995,English,Double blind peer review,30,CC BY,,TRUE,TRUE
Electronic Green Journal,EGJ,"eScholarship Publishing, University of California",,United States,No,,,,,,1994,English,Double blind peer review,12,CC BY,,TRUE,TRUE
The Journal of Artificial Intelligence Research,,AI Access Foundation,,United States,No,,,,,,1993,English,Blind peer review,27,Publisher's own license,"Attribution, Share Alike, No Derivatives",FALSE,FALSE
Journal of Electronic Publishing,,Michigan Publishing,,United States,No,,,,,,1995,English,Peer review,16,CC BY-NC-ND,,TRUE,TRUE
Emerging Infectious Diseases,EID,Centers for Disease Control and Prevention,,United States,No,,,,,,1995,English,Peer review,8,CC BY,,TRUE,TRUE
Journal of Small Business Strategy,JSBS,Middle Tennessee State University,The Small Business Institute,United States,No,,,,,,1990,English,Double blind peer review,4,CC BY-NC-ND,,FALSE,FALSE
Democracy and Education,Democracy and Education,Lewis & Clark Graduate School of Education and Counseling,Lewis & Clark Graduate School of Education and Counseling,United States,No,,,,,,2011,English,Double blind peer review,38,CC BY-NC-ND,,FALSE,FALSE
Policy Perspectives,,George Washington University,,United States,No,,,,,,1994,English,Peer review,27,CC BY-NC-ND,,TRUE,TRUE
Virginia Libraries,,Virginia Tech Libraries,Virginia Library Association,United States,No,,,,,,1999,English,Blind peer review,52,CC BY-NC-ND,,TRUE,TRUE
Dermatology Online Journal,,"eScholarship Publishing, University of California","University of California, Davis",United States,No,,,,,,2018,English,Peer review,6,CC BY-NC-ND,,FALSE,FALSE
Chinese Librarianship: An International Electronic Journal,CLIEJ,Internet Chinese Librarians Club,,United States,No,,,,,,1996,English,Blind peer review,12,CC BY-NC-ND,,TRUE,TRUE
Online Journal of Nursing Informatics,,HIMSS,,United States,No,,,,,,1997,English,Double blind peer review,18,CC BY-NC-ND,,FALSE,FALSE
Molecular Vision,,Molecular Vision,Molecular Vision,United States,No,,,,,,1995,English,Peer review,12,CC BY-NC-ND,,FALSE,FALSE
Catholic Social Science Review,,Society of Catholic Social Scientists,Society of Catholic Social Scientists,United States,No,,,,,,1996,English,Blind peer review,12,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Hmong Studies Journal,HSJ,Hmong Studies Journal,,United States,No,,,,,,1996,English,Blind peer review,30,CC BY-NC-ND,,FALSE,TRUE
"Issues in Science and Technology Librarianship : a quarterly publication of the Science and Technology Section, Association of College and Research Libraries",ISTL,Association of College and Research Libraries,,United States,No,,,,,,1991,English,Blind peer review,12,CC BY-NC-ND,,TRUE,TRUE
Michigan Family Review,MFR,Michigan Publishing,,United States,No,,,,,,2004,English,Double blind peer review,36,CC BY-NC-ND,,TRUE,TRUE
Language Learning and Technology,Language Learning & Technology,University of Hawaii,,United States,No,,,,,,1997,English,Double blind peer review,53,Publisher's own license,"Attribution, No Commercial Usage, No Derivatives",TRUE,TRUE
Optics Express,,Optical Society of America (OSA),,United States,Yes,2692,USD - US Dollar,,,,1998,English,Blind peer review,9,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Journal of Southern Religion,JSR,West Virginia University,,United States,No,,,,,,1998,English,Peer review,15,CC BY,,FALSE,FALSE
Education Review,EdRev,Arizona State University,,United States,No,,,,,,2002,"English, Spanish; Castilian",Editorial review,12,CC BY-NC-ND,,TRUE,TRUE
Stanford Encyclopedia of Philosophy,,Stanford University,Center for the Study of Language and Information,United States,No,,,,,,1998,English,Editorial review,26,Publisher's own license,"Attribution, No Commercial Usage, No Derivatives",FALSE,FALSE
International Food and Agribusiness Management Review,,International Food and Agribusiness Management Association,,United States,Yes,1000,EUR - Euro,,,,1998,English,Double blind peer review,34,CC BY-NC-SA,,FALSE,FALSE
Physical Review Special Topics. Accelerators and Beams,,American Physical Society,American Physical Society,United States,No,,,,,,1998,English,Peer review,23,CC BY,,TRUE,TRUE
Evolutionary Bioinformatics,Evolutionary Bioinformatics Online,SAGE Publishing,,United States,Yes,1848,USD - US Dollar,,,,2005,English,Blind peer review,8,CC BY-NC,,FALSE,FALSE
Biomedical Informatics Insights,,SAGE Publishing,,United States,Yes,1848,USD - US Dollar,,,,2008,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Palliative Care,Palliative Care: Research and Treatment,SAGE Publishing,,United States,Yes,1848,USD - US Dollar,,,,2008,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
International Journal on Smart Sensing and Intelligent Systems,,Exeley Inc.,,United States,Yes,500,USD - US Dollar,,,,2008,English,Double blind peer review,8,CC BY-NC-ND,,TRUE,TRUE
Genetics and Epigenetics,,SAGE Publishing,,United States,Yes,1500,USD - US Dollar,,,,2008,English,Blind peer review,8,CC BY-NC,,FALSE,FALSE
International Journal of Educational Technology,,International Society for Educational Technology,International Society for Educational Technology,United States,No,,,,,,2017,English,Double blind peer review,8,CC BY,,FALSE,FALSE
"Journal of Low Frequency Noise, Vibration and Active Control",,SAGE Publishing,,United States,Yes,1200,USD - US Dollar,,,,2017,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Journal of the Renin-Angiotensin-Aldosterone System,,SAGE Publishing,,United States,Yes,1600,GBP - Pound Sterling,,,,2014,English,Blind peer review,15,CC BY-NC,,TRUE,FALSE
Evolutionary Psychology,,SAGE Publishing,,United States,Yes,195,USD - US Dollar,,,,2003,English,Double blind peer review,12,CC BY-NC,,FALSE,FALSE
CLCWeb,,Purdue University Press,,United States,No,,,,,,1999,English,Blind peer review,24,Publisher's own license,"Attribution, No Commercial Usage, No Derivatives",FALSE,FALSE
Optometric Education,,Association of Schools and Colleges of Optometry,,United States,No,,,,,,2008,English,Double blind peer review,30,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Journal of Religion and Society,,Creighton University,,United States,No,,,,,,1999,English,Blind peer review,10,CC BY,,TRUE,TRUE
Composition Forum,,Association of Teachers of Advanced Composition,,United States,No,,,,,,2005,English,Blind peer review,26,CC BY-SA,,TRUE,TRUE
Neoplasia: An International Journal for Oncology Research,,Elsevier,,United States,Yes,2500,USD - US Dollar,,,,1999,English,Blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
New Waves: Educational Research and Development,,Chinese American Educational Research and Development Association,,United States,No,,,,,,2007,English,Blind peer review,8,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Journal of Applied Clinical Medical Physics,,Wiley,American Association of Physicists in Medicine ,United States,Yes,500,USD - US Dollar,,,,2000,English,Double blind peer review,13,CC BY,,TRUE,TRUE
Advances in Social Work,,Indiana University School of Social Work,Indiana University School of Social Work,United States,No,,,,,,2008,English,Double blind peer review,20,CC BY,,TRUE,TRUE
Journal of the Scholarship of Teaching and Learning,JoSoTL,Indiana University Office of Scholarly Publishing,Indiana University Faculty Academy on Excellence in Teaching (FACET),United States,No,,,,,,2012,English,Double blind peer review,48,CC BY,,TRUE,TRUE
International Journal of Education and the Arts,,Pennsylvania State University,,United States,No,,,,,,2000,English,Double blind peer review,12,CC BY-NC,,TRUE,TRUE
"Practical Assessment, Research and Evaluation",,"Practical Assessment, Research & Evaluation",,United States,No,,,,,,1988,English,Editorial review,6,CC BY-NC-ND,,TRUE,TRUE
INFORMS Transactions on Education,ITE,Institute for Operations Research and the Management Sciences (INFORMS),Institute for Operations Research and the Management Sciences (INFORMS),United States,No,,,,,,2000,English,Peer review,52,CC BY-NC-ND,,TRUE,TRUE
The Reading Matrix : an International Online Journal,,Meena Singhal & John I. Liontas,,United States,No,,,,,,2001,English,Blind peer review,14,CC BY-NC-ND,,TRUE,TRUE
Integrative Cancer Therapies,,SAGE Publishing,,United States,Yes,1350,USD - US Dollar,,,,2002,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Journal of Vision,,Association for Research in Vision and Ophthalmology,Association for Research in Vision and Ophthalmology,United States,Yes,1850,USD - US Dollar,,,,2001,English,Peer review,12,CC BY-NC-ND,,TRUE,TRUE
Molecular Imaging,,SAGE Publishing,,United States,Yes,2200,USD - US Dollar,,,,2002,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Journal of the Medical Library Association,JMLA,"University Library System, University of Pittsburgh",Medical Library Association,United States,No,,,,,,2002,English,Double blind peer review,26,CC BY,,TRUE,TRUE
Oklahoma Native Plant Record,,Oklahoma Native Plant Society,,United States,No,,,,,,2001,English,Blind peer review,8,CC BY-NC-SA,,TRUE,TRUE
Linguistic Discovery,,Dartmouth College Library,,United States,No,,,,,,2002,English,Blind peer review,12,CC BY-NC,,TRUE,TRUE
Online Journal of Rural Nursing and Health Care,,Rural Nurse Organization and Bighamton University,Rural Nurse Organization (RNO),United States,No,,,,,,2000,English,Blind peer review,24,CC BY-NC,,TRUE,TRUE
The Internet Journal of Allied Health Sciences and Practice,IJAHSP,Nova Southeastern University,,United States,No,,,,,,2003,English,Double blind peer review,35,CC BY-NC-ND,,FALSE,FALSE
eHumanista: Journal of Iberian Studies,,College of Letters and Science of the University of California Santa Barbara,"University of California, Santa Barbara. Dept. of Spanish and Portuguese",United States,No,,,,,,2001,"Catalan; Valencian, English, French, Italian, Spanish; Castilian",Double blind peer review,20,CC BY,,FALSE,FALSE
Journal of Interactive Online Learning,,National Center for Online Learning Research,,United States,No,,,,,,2002,English,Double blind peer review,15,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Interdisciplinary Journal of Problem-based Learning,IJPBL,Purdue University Press,,United States,No,,,,,,2006,English,Double blind peer review,32,CC BY-NC-ND,,FALSE,FALSE
Latin American Research Review,,Latin American Studies Association,,United States,No,,,,,,2017,"English, Portuguese, Spanish; Castilian",Double blind peer review,9,CC BY,,TRUE,TRUE
Sociation Today,,North Carolina Sociological Association,,United States,No,,,,,,2003,English,Peer review,10,Publisher's own license,"Attribution, No Derivatives",FALSE,FALSE
Nineteenth-Century Art Worldwide,,Association of Historians of Nineteenth-Century Art (AHNCA),Association of Historians of Nineteenth-Century Art (AHNCA),United States,No,,,,,,2002,English,Double blind peer review,28,CC BY-NC,,FALSE,FALSE
Himalayan Linguistics,HL,"eScholarship Publishing, University of California",,United States,No,,,,,,2004,English,Double blind peer review,20,CC BY-NC-ND,,TRUE,FALSE
Information Technologies and International Development,ITID,University of Southern California,,United States,No,,,,,,2003,English,Blind peer review,25,CC BY-NC-SA,,FALSE,FALSE
PLoS Biology ,,Public Library of Science (PLoS),,United States,Yes,2900,USD - US Dollar,,,,2003,English,Peer review,28,CC BY,,TRUE,TRUE
"Action, Criticism and Theory for Music Education",,The MayDay Group,The MayDay Group,United States,No,,,,,,2002,English,Double blind peer review,28,Publisher's own license,,TRUE,TRUE
Californian Journal of Health Promotion,,Californian Journal of Health Promotion,,United States,No,,,,,,2003,English,Peer review,26,Publisher's own license,Attribution,FALSE,FALSE
San Francisco Estuary and Watershed Science,SFEWS,"eScholarship Publishing, University of California","University of California, Davis; Delta Stewardship Council",United States,No,,,,,,2003,English,Blind peer review,24,CC BY,,TRUE,TRUE
Biodiversity Informatics,,University of Kansas,,United States,No,,,,,,2004,"English, Portuguese, Spanish; Castilian",Peer review,12,CC BY-NC,,TRUE,TRUE
Journal of Educators Online,,Journal of Educators Online,Grand Canyon University,United States,No,,,,,,2004,English,Double blind peer review,16,CC BY-NC-ND,,TRUE,TRUE
Letr@s Hispanas,Journal of Literature and Culture,Texas State University,,United States,No,,,,,,2004,"English, Spanish; Castilian",Peer review,36,Publisher's own license,Attribution,FALSE,FALSE
Journal of Statistical Software,,Foundation for Open Access Statistics,,United States,No,,,,,,1996,English,Peer review,53,CC BY,,TRUE,TRUE
PLoS Medicine,,Public Library of Science (PLoS),,United States,Yes,2900,USD - US Dollar,,,,2004,English,Peer review,32,CC BY,,TRUE,TRUE
International Journal of Distributed Sensor Networks,,SAGE Publishing,,United States,Yes,2000,USD - US Dollar,,,,2011,English,Blind peer review,11,CC BY,,FALSE,FALSE
Southern Spaces,,Emory Center for Digital Scholarship,Emory University,United States,No,,,,,,2004,English,Double blind peer review,53,Publisher's own license,"Attribution, No Commercial Usage, No Derivatives",TRUE,TRUE
TRANSIT,"TRANSIT: A Journal of Travel, Migration, and Multiculturalism in the German-speaking World","eScholarship Publishing, University of California","University of California, Berkeley",United States,No,,,,,,2004,"English, German",Blind peer review,14,CC BY-NC-ND,,TRUE,TRUE
Pragmatic Case Studies in Psychotherapy,,Rutgers University Libraries,Rutgers University,United States,No,,,,,,2005,"English, Japanese",Peer review,16,CC BY-NC-SA,,TRUE,TRUE
Integers,Integers: Electronic Journal of Combinatorial Number Theory,Integers,,United States,No,,,,,,2000,English,Blind peer review,50,CC BY,,TRUE,TRUE
Integral Review,,"ARINA, Inc.",,United States,No,,,,,,2005,"English, French, German",Peer review,26,CC BY-NC-ND,,FALSE,FALSE
AmeriQuests,,Vanderbilt University,,United States,No,,,,,,2004,"English, French, Portuguese, Spanish; Castilian",Peer review,4,CC BY-NC,,TRUE,TRUE
PLoS Computational Biology,,Public Library of Science (PLoS),,United States,Yes,2250,USD - US Dollar,,,,2005,English,Peer review,32,CC BY,,TRUE,TRUE
PLoS Pathogens,,Public Library of Science (PLoS),,United States,Yes,2250,USD - US Dollar,,,,2005,English,Peer review,24,CC BY,,TRUE,TRUE
PLoS Genetics,,Public Library of Science (PLoS),,United States,Yes,2250,USD - US Dollar,,,,2005,English,Peer review,26,CC BY,,TRUE,TRUE
International Journal of Progressive Education,,International Association of Educators,International Association of Educators,United States,No,,,,,,2005,"Chinese, English",Double blind peer review,18,CC BY,,FALSE,FALSE
Across the Disciplines,Language and Learning Across the Disciplines,WAC Clearinghouse,,United States,No,,,,,,2004,English,Editorial review,26,CC BY-NC-ND,,TRUE,TRUE
Peregrinations,,International Society for the Study of Pilgrimage Art,,United States,No,,,,,,2002,English,Double blind peer review,24,CC BY-NC-SA,,TRUE,TRUE
Physical Review Special Topics. Physics Education Research,,American Physical Society,American Physical Society,United States,Yes,1700,USD - US Dollar,,,,2005,English,Peer review,31,CC BY,,TRUE,TRUE
Lean Construction Journal,,Lean Construction Institute,LCI,United States,No,,,,,,2004,English,Double blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
Progress in Physics,,HEXIS (Arizona),,United States,Yes,60,USD - US Dollar,,,,2005,English,Peer review,1,CC BY-NC-ND,,TRUE,TRUE
Divergencias,Divergencias: Revista de Estudios Linguisticos y Literarios,University of Arizona,,United States,No,,,,,,2003,"English, Portuguese, Spanish; Castilian",Peer review,52,Publisher's own license,Attribution,TRUE,TRUE
Studies in 20th and 21st Century Literature,STTCL,New Prairie Press,Kansas State University,United States,No,,,,,,2013,English,Double blind peer review,10,CC BY-NC-ND,,TRUE,TRUE
International Journal for Service Learning in Engineering,IJSLE,Queen's University,Queen's University,United States,No,,,,,,2006,English,Blind peer review,20,CC BY-SA,,TRUE,TRUE
Hyperrhiz,Hyperrhiz: New Media Cultures,Hyperrhiz,,United States,No,,,,,,2005,English,Editorial review,15,CC BY-NC,,TRUE,TRUE
Rhizomes: Cultural Studies in Emerging Knowledge,,Bowling Green State University,,United States,No,,,,,,2000,English,Blind peer review,24,CC BY-NC,,TRUE,TRUE
Grounded Theory Review: An International Journal,,Sociology Press,,United States,No,,,,,,2012,English,Double blind peer review,8,Publisher's own license,"Attribution, No Commercial Usage",TRUE,TRUE
Journal of Muslim Mental Health,,Michigan Publishing,,United States,No,,,,,,2011,English,Double blind peer review,25,CC BY-NC-ND,,FALSE,FALSE
Nineteenth-Century Gender Studies,,Nineteenth-Century Gender Studies,,United States,No,,,,,,2005,English,Blind peer review,24,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Social Medicine,Medicina Social ,Social Medicine Publication Group,Latin American Social Medicine Association,United States,No,,,,,,2006,"English, Portuguese, Spanish; Castilian",Peer review,15,CC BY-NC-ND,,FALSE,FALSE
Journal of Applied Packaging Research,JAPR,Rochester Institute of Technology,,United States,No,,,,,,2014,English,Double blind peer review,6,CC BY-NC,,TRUE,TRUE
American Journal of Men's Health,Men's Health,SAGE Publishing,Men's Health Network,United States,Yes,1900,USD - US Dollar,,,,2016,English,Double blind peer review,15,CC BY-NC,,FALSE,FALSE
Homeland Security Affairs,HSA,Naval Postgraduate School,Center for Homeland Defense and Security,United States,No,,,,,,2005,English,Double blind peer review,38,Publisher's own license,"Attribution, No Commercial Usage",TRUE,TRUE
"Journal of Digital Forensics, Security and Law",JDFSL,"Association of Digital Forensics, Security and Law","Association of Digital Forensics, Security and Law",United States,No,,,,,,2013,English,Double blind peer review,10,CC BY,,FALSE,FALSE
Scholar and Feminist Online,S&F Online,Barnard Center for Research on Women,,United States,No,,,,,,2003,English,Blind peer review,32,CC BY-SA,,TRUE,TRUE
Journal of Ethics and Social Philosophy,JESP : Journal of Ethics & Social Philosophy,University of Southern California,,United States,No,,,,,,2005,English,Double blind peer review,24,CC BY-NC-ND,,TRUE,TRUE
Dose-Response,,SAGE Publishing,,United States,Yes,1500,USD - US Dollar,,,,2003,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
E-Journal of Severe Storms Meteorology,EJSSM,Electronic Journals of Meteorology,,United States,Yes,50,USD - US Dollar,,,,2006,English,Open peer review,24,CC BY-ND,,TRUE,TRUE
Empirical Musicology Review,,The Ohio State University Libraries,,United States,No,,,,,,2006,English,Open peer review,19,CC BY-NC,,TRUE,TRUE
International Journal of Optomechatronics,,Taylor & Francis Group,,United States,Yes,1000,USD - US Dollar,,,,2017,English,Blind peer review,27,CC BY-NC-ND,,FALSE,FALSE
International Journal of Curriculum and Instruction,,World Council for Curriculum and Instruction (WCCI),,United States,No,,,,,,2015,English,Double blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
Biblios,,"University Library System, University of Pittsburgh","Grupo Biblios, International Network of the Development of Library and Information Science",United States,No,,,,,,2011,"Portuguese, Spanish; Castilian",Peer review,10,CC BY,,TRUE,TRUE
Biogeographia ,The Journal of Integrative Biogeography,"eScholarship Publishing, University of California",Italian Biogeography Society,United States,Yes,200,USD - US Dollar,,,,2016,English,Blind peer review,28,CC BY,,TRUE,TRUE
International Journal of Qualitative Methods,,SAGE Publishing, International Institute for Qualitative Methodology at the University of Alberta,United States,Yes,1500,USD - US Dollar,,,,2002,English,Double blind peer review,12,CC BY-NC,,FALSE,FALSE
"Journal of Systemics, Cybernetics and Informatics",JSCI,International Institute of Informatics and Cybernetics,HTML Web Page,United States,No,,,,,,2003,English,Double blind peer review,12,Publisher's own license,,TRUE,TRUE
"Revista de Sistemas, Cibernética e Informática",,International Institute of Informatics and Cybernetics,Inernational Institute of Informatics and Systemics,United States,No,,,,,,2004,Spanish; Castilian,Double blind peer review,12,Publisher's own license,Attribution,FALSE,FALSE
International Journal of Whole Schooling,,Whole Schooling Press,,United States,No,,,,,,2004,English,Double blind peer review,12,CC BY-ND,,FALSE,FALSE
Polish Journal of Microbiology,,Exeley Inc.,Polish Society of Microbiologists,United States,Yes,500,USD - US Dollar,,,,2004,English,Blind peer review,40,CC BY-NC-ND,,TRUE,TRUE
Molecular Pain,,SAGE Publishing,,United States,Yes,2500,USD - US Dollar,,,,2005,English,Blind peer review,11,CC BY-NC,,FALSE,FALSE
Expositions: Interdisciplinary Studies in the Humanities,,Villanova University,,United States,No,,,,,,2007,English,Double blind peer review,25,CC BY,,TRUE,TRUE
Evolutionary Applications,,Wiley,,United States,Yes,2356,USD - US Dollar,,,,2008,English,Peer review,23,CC BY,,TRUE,TRUE
Therapeutic Advances in Respiratory Disease,,SAGE Publishing,,United States,Yes,2000,USD - US Dollar,,,,2018,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Australian and New Zealand Journal of Public Health,,Wiley,Public Health Association of Australia Inc,United States,Yes,1500,USD - US Dollar,,,,2017,English,Double blind peer review,26,CC BY-NC-ND,,FALSE,FALSE
